"filename", "language", "Python", "pip requirements", "comment", "blank", "total"
"/home/qianguo/Edge-Scheduler/Controller/dml_app/1/nns/nn_fashion_mnist.py", "Python", 24, 0, 0, 8, 32
"/home/qianguo/Edge-Scheduler/Controller/dml_app/1/nns/nn_mnist.py", "Python", 14, 0, 0, 8, 22
"/home/qianguo/Edge-Scheduler/Controller/dml_app/1/nns/nn_mnist_lenet.py", "Python", 18, 0, 0, 8, 26
"/home/qianguo/Edge-Scheduler/Controller/dml_app/1/worker_utils.py", "Python", 62, 0, 0, 14, 76
"/home/qianguo/Edge-Scheduler/Controller/dml_app/2/dml_utils.py", "Python", 101, 0, 0, 30, 131
"/home/qianguo/Edge-Scheduler/Controller/dml_app/2/gl_peer.py", "Python", 124, 0, 0, 41, 165
"/home/qianguo/Edge-Scheduler/Controller/dml_app/2/nns/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/qianguo/Edge-Scheduler/Controller/dml_app/2/nns/nn_cifar10.py", "Python", 38, 0, 0, 8, 46
"/home/qianguo/Edge-Scheduler/Controller/dml_app/2/nns/nn_fashion_mnist.py", "Python", 24, 0, 0, 8, 32
"/home/qianguo/Edge-Scheduler/Controller/dml_app/2/nns/nn_mnist.py", "Python", 14, 0, 0, 8, 22
"/home/qianguo/Edge-Scheduler/Controller/dml_app/2/nns/nn_mnist_lenet.py", "Python", 18, 0, 0, 8, 26
"/home/qianguo/Edge-Scheduler/Controller/dml_app/2/worker_utils.py", "Python", 62, 0, 0, 14, 76
"/home/qianguo/Edge-Scheduler/Controller/dml_app/3/dml_utils.py", "Python", 101, 0, 0, 30, 131
"/home/qianguo/Edge-Scheduler/Controller/dml_app/3/gl_peer.py", "Python", 124, 0, 0, 41, 165
"/home/qianguo/Edge-Scheduler/Controller/dml_app/3/nns/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/qianguo/Edge-Scheduler/Controller/dml_app/3/nns/nn_cifar10.py", "Python", 38, 0, 0, 8, 46
"/home/qianguo/Edge-Scheduler/Controller/dml_app/3/nns/nn_fashion_mnist.py", "Python", 24, 0, 0, 8, 32
"/home/qianguo/Edge-Scheduler/Controller/dml_app/3/nns/nn_mnist.py", "Python", 14, 0, 0, 8, 22
"/home/qianguo/Edge-Scheduler/Controller/dml_app/3/nns/nn_mnist_lenet.py", "Python", 18, 0, 0, 8, 26
"/home/qianguo/Edge-Scheduler/Controller/dml_app/3/worker_utils.py", "Python", 62, 0, 0, 14, 76
"/home/qianguo/Edge-Scheduler/Controller/dml_tool/1/conf_utils.py", "Python", 27, 0, 0, 11, 38
"/home/qianguo/Edge-Scheduler/Controller/dml_tool/1/dataset_conf.py", "Python", 33, 0, 0, 6, 39
"/home/qianguo/Edge-Scheduler/Controller/dml_tool/1/gl_structure_conf.py", "Python", 92, 0, 0, 18, 110
"/home/qianguo/Edge-Scheduler/Controller/dml_tool/2/conf_utils.py", "Python", 27, 0, 0, 11, 38
"/home/qianguo/Edge-Scheduler/Controller/dml_tool/2/dataset_conf.py", "Python", 33, 0, 0, 6, 39
"/home/qianguo/Edge-Scheduler/Controller/dml_tool/2/gl_structure_conf.py", "Python", 92, 0, 0, 18, 110
"/home/qianguo/Edge-Scheduler/Controller/dml_tool/3/conf_utils.py", "Python", 27, 0, 0, 11, 38
"/home/qianguo/Edge-Scheduler/Controller/dml_tool/3/dataset_conf.py", "Python", 33, 0, 0, 6, 39
"/home/qianguo/Edge-Scheduler/Controller/dml_tool/3/gl_structure_conf.py", "Python", 92, 0, 0, 18, 110
"/home/qianguo/Edge-Scheduler/Controller/scheduling_logs/plot_loads.py", "Python", 55, 0, 0, 14, 69
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/dml_app/dml_utils.py", "Python", 101, 0, 0, 30, 131
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/dml_app/gl_peer.py", "Python", 124, 0, 0, 41, 165
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/dml_app/nns/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/dml_app/nns/nn_cifar10.py", "Python", 38, 0, 0, 8, 46
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/dml_app/nns/nn_fashion_mnist.py", "Python", 24, 0, 0, 8, 32
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/dml_app/nns/nn_mnist.py", "Python", 14, 0, 0, 8, 22
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/dml_app/nns/nn_mnist_lenet.py", "Python", 18, 0, 0, 8, 26
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/dml_app/worker_utils.py", "Python", 62, 0, 0, 14, 76
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/dml_tool/conf_utils.py", "Python", 27, 0, 0, 11, 38
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/dml_tool/dataset_conf.py", "Python", 33, 0, 0, 6, 39
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/dml_tool/gl_structure_conf.py", "Python", 92, 0, 0, 18, 110
"/home/qianguo/Edge-Scheduler/Controller/task_file/1/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/dml_app/dml_utils.py", "Python", 101, 0, 0, 30, 131
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/dml_app/gl_peer.py", "Python", 124, 0, 0, 41, 165
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/dml_app/nns/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/dml_app/nns/nn_cifar10.py", "Python", 38, 0, 0, 8, 46
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/dml_app/nns/nn_fashion_mnist.py", "Python", 24, 0, 0, 8, 32
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/dml_app/nns/nn_mnist.py", "Python", 14, 0, 0, 8, 22
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/dml_app/nns/nn_mnist_lenet.py", "Python", 18, 0, 0, 8, 26
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/dml_app/worker_utils.py", "Python", 62, 0, 0, 14, 76
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/dml_tool/conf_utils.py", "Python", 27, 0, 0, 11, 38
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/dml_tool/dataset_conf.py", "Python", 33, 0, 0, 6, 39
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/dml_tool/gl_structure_conf.py", "Python", 92, 0, 0, 18, 110
"/home/qianguo/Edge-Scheduler/Controller/task_file/2/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/dml_app/dml_utils.py", "Python", 101, 0, 0, 30, 131
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/dml_app/gl_peer.py", "Python", 124, 0, 0, 41, 165
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/dml_app/nns/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/dml_app/nns/nn_cifar10.py", "Python", 38, 0, 0, 8, 46
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/dml_app/nns/nn_fashion_mnist.py", "Python", 24, 0, 0, 8, 32
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/dml_app/nns/nn_mnist.py", "Python", 14, 0, 0, 8, 22
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/dml_app/nns/nn_mnist_lenet.py", "Python", 18, 0, 0, 8, 26
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/dml_app/worker_utils.py", "Python", 62, 0, 0, 14, 76
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/dml_tool/conf_utils.py", "Python", 27, 0, 0, 11, 38
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/dml_tool/dataset_conf.py", "Python", 33, 0, 0, 6, 39
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/dml_tool/gl_structure_conf.py", "Python", 92, 0, 0, 18, 110
"/home/qianguo/Edge-Scheduler/Controller/task_file/3/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_manager/1/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_manager/10/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_manager/11/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_manager/2/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_manager/3/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_manager/4/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_manager/5/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_manager/6/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_manager/7/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_manager/8/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/task_manager/9/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Controller/test.py", "Python", 21, 0, 0, 4, 25
"/home/qianguo/Edge-Scheduler/Task/dml_app/dml_utils.py", "Python", 101, 0, 0, 30, 131
"/home/qianguo/Edge-Scheduler/Task/dml_app/gl_peer.py", "Python", 124, 0, 0, 41, 165
"/home/qianguo/Edge-Scheduler/Task/dml_app/nns/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/qianguo/Edge-Scheduler/Task/dml_app/nns/nn_cifar10.py", "Python", 38, 0, 0, 8, 46
"/home/qianguo/Edge-Scheduler/Task/dml_app/nns/nn_fashion_mnist.py", "Python", 24, 0, 0, 8, 32
"/home/qianguo/Edge-Scheduler/Task/dml_app/nns/nn_mnist.py", "Python", 14, 0, 0, 8, 22
"/home/qianguo/Edge-Scheduler/Task/dml_app/nns/nn_mnist_lenet.py", "Python", 18, 0, 0, 8, 26
"/home/qianguo/Edge-Scheduler/Task/dml_app/worker_utils.py", "Python", 62, 0, 0, 14, 76
"/home/qianguo/Edge-Scheduler/Task/dml_tool/conf_utils.py", "Python", 27, 0, 0, 11, 38
"/home/qianguo/Edge-Scheduler/Task/dml_tool/dataset_conf.py", "Python", 33, 0, 0, 6, 39
"/home/qianguo/Edge-Scheduler/Task/dml_tool/gl_structure_conf.py", "Python", 92, 0, 0, 18, 110
"/home/qianguo/Edge-Scheduler/Task/task_manager.py", "Python", 65, 0, 0, 7, 72
"/home/qianguo/Edge-Scheduler/Worker/agent.py", "Python", 328, 0, 0, 39, 367
"/home/qianguo/Edge-Scheduler/__init__.py", "Python", 0, 0, 0, 1, 1
"Total", "-", 12928, 7, 0, 2788, 15723
